slug,name,description,parent_slug,imageUrl
bardage-clin,Bardage et clin,Aménagement extérieur - Revetement de façade de maison - D'Abri de jardin - Pose verticale ou horizontale ,,
bois-autoclave,Bois autoclavé,"Traités par imprégnation à cœur pour usage extérieur - Garantis de 10 à 20ans 
",,
bois-de-menuiserie-de-pays,Bois de menuiserie de pays,Bois massifs Français secs - Avivés ou plots - Différentes épaisseurs disponibles,,
bois-de-menuiserie-exotique,Bois de menuiserie exotique,"Bois Massif d'origine Afrique - Asie - Amérique du Nord - Amérique du Sud - Avivés - Différentes épaisseurs disponibles 
",,
charpente,Charpente,"Bois massif traditionnel - Epicéa du Jura - Brut - Traité CL2 - Stocké à l'abri 
",,
colles-et-produits-de-traitement,Colles et produits de traitement,"Colle à bois - bois et matériaux / Insecticides et fongicides / Saturateur
",,
epicea,Epicéa,"Volige section 15x200mm - Longueur 3m - Traitée CL2 / Volige section 18x150mm - Longueur 3m - Traitée CL3 Marron
",bardage-clin,
fabrication-sur-mesure,Fabrication sur mesure,"Plateaux de table - Bureau - Meuble Vasque - Comptoir - Petit mobilier - Projet à deviser sur place
",,
jalons,Jalons,,,
lambris,Lambris,"Usage intérieur ou extérieur sous abri 
",,
lame-de-terrasse,Lame de terrasse,"Pin Sylvestre traité CL4 - Exotique - Bambou 
",,
liteaux-contre-liteaux,Liteaux et contre-liteaux,"27x40mm - Longueur 4m / 14x38mm- Longueur 3m 
",charpente,
moulures-tasseaux,Moulures - Tasseaux,"Pin sans nœuds ou chêne - Non aboutés 
",,
panneaux,Panneaux,,,
parquet,Parquet,"Massif ou contrecollé - Pose à clouer, visser ou coller 
",,
pin-sylvestre,Pin sylvestre,"Traitées CL4 - Lisses ou rainurées - Choix sans nœud/ petits noeuds - Section 145x22mm - Longueur 3m, 4m 
",lame-de-terrasse,
planches,Planches,"Coffrage, usages divers
",,
planches-echafaudage,Planches d'échafaudage,"Section 25x5cm - Longueur 4m (1e choix) 
",charpente,
plinthe,Plinthe et Surplinthe,"En Pin, Sapin Nord blanc ou MDF prépeint blanc 
",,
portes-blocs-portes,Portes / blocs portes,"Portes seules et blocs-portes - Usage intérieur - Alvéolaire/Ame pleine/Coupe-feu 30min ou 60min - De nombreuses références en stock, nous consulter
",,
poteaux,Poteaux,"Section 20x20cm - Longueur 2,5m, 3,5m, 5m, 6,5m - Autres longueurs sur commande
",charpente,
quincaillerie,Quincaillerie,"Visserie Zinguée/ Inox/ Equerres/ Sabots de charpente/ Pieds de poteaux
",,
sapin-du-nord,Sapin du nord,"Provenance Pays du Nord de l'Europe - Menuiserie intérieure/extérieure 
",,
sapin-nord-blanc,Sapin nord blanc,,volets,
volets,Volets,"Lame à volets - Barres et écharpes - Battement 
Lame à volets - Barres et écharpes - Battement 
",,
voliges,Voliges,"Section 15x200mm - Longueur 3m - Autres longueurs sur commande)
",charpente,
