slug,name,description,section,length,species,standard,categories
agglo,Agglo,"Panneau de particules Standard, Hydro ou Ignifugé - Menuiserie générale - Aménagements divers - Formats 2800x2070mm / 2500x1250mm / 3050x1850mm ou 3050x610mm - Epaisseurs : 12,18,19,22,28,30,35,38mm selon format",,,,,panneaux
agglo-mélamine-blanc,Agglo mélaminé blanc,"Format 2800x2070mm - Epaisseurs 8,10,12,16,19,22mm",,,,,panneaux
agglo-replaque,Agglo replaqué,"Hêtre,Chêne,Frêne,Merisier,Sapelli - Epaisseur 19mm - Formats 3050x1530mm - 2500x1530mm - Autres essences sur commande",,,,,panneaux
amenagements-exterieur,Aménagements extérieur,"Traverses paysagères - Section 20x10cm - Longueur 2,60m / Table de pique-nique 2000x800mm / Rondins pré-percés diamètre 140mm 1 ou 2 trous - Longueurs 1m, 1,5m, 2m",,,,,bois-autoclave
badi,Badi,Bois brut - Origine côte d'Ivoire - Jaune/orangé - Naturellement CL4 - Menuiserie extérieure/intérieure - Largeurs 155 ou 205mm - Epaisseurs 27-34-41-54mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
bambou,Bambou,"Lame de terrasse - Origine Asie - Brun foncé - Section 137x20mm - Longueur 1,85mm - Sur commande",,,,,bois-de-menuiserie-exotique
bardage-epicea-cl2,Epicé CL2,Brut traité CL2,Section: 15*200,Longueur: 3m,Epicéa,,bardage-clin|epicea
bardage-epicea-cl3,Epicéa CL3,Brut traité CL3,Section: 18*150,Longueur: 3m/4m,Epicéa,,bardage-clin|epicea
bardage-gamme-vivre-en-bois,Gamme Vivre en bois,Gamme disponible sur commande - Catalogue sur place ou a consulter sur internet : https://www.vivreenbois.com/produits/bardage-bois,,,,,bardage-clin
bardage-pin-sylvestre,Pin Sylvestre,"Clin Section 135x22mm - Traité CL4 - Profil élégie - Lames bouvetées, rabotées, longueurs selon arrivage / Planches pour claire-voie section 90x22mm - Traitées CL4 Rabotées - Longueur 3m",,,,,bardage-clin
battements,Battements à volets,"Battement ou couvre-joint - Sapin nord blanc, section 70x22mm - Longueur 2700mm",,,,,sapin-nord-blanc|volets
blanc,Blanc,origine Scandinavie - Largeur 200/225mm - Epaisseurs 25-32-38-50-75mm - Longueurs de 3900 à 5100mm selon arrivage,,,,,sapin-du-nord
blocs-portes,Blocs portes,,,,,,portes-blocs-portes
bois-autoclave-bardage,Bardage,"Pin Sylvestre CLIN - Traité CL4 - Profil Elégie - Section 135x22mm - Longueur 4,2m / Volige Epicéa - Traitée CL3 - Section 18x150mm - Longueur 3m",,,,,bois-autoclave
bois-autoclave-gamme-vivre-en-bois,Gamme Vivre en bois,Gamme disponible sur commande - Catalogue sur place ou a consulter sur internet : https://www.vivreenbois.com/produits,,,,,bois-autoclave
bois-menuiserie-chene,Chêne,"Chêne de Bourgogne - Plot - Séchage naturel - Epaisseurs 20-27-34-41-54mm

(Type: BME)",,,,,bois-de-menuiserie-de-pays
bureau,Bureau,,,,,,fabrication-sur-mesure
chataigner,Chataigner,Châtaignier de Dordogne - Plots ou avivés - Séchage naturel ou séchoir - Epaisseurs 20-27-34-45-54mm,Epaisseur: 20-27-34-45-54,,,,bois-de-menuiserie-de-pays
chene,Chêne,"Massif ou contrecollé - Pose simple, Bâton rompu, Point de hongrie - Sur commande, nous consulter",,,,,parquet
chevrons,Chevrons,"Section:
- 6x8cm - Longueur 3m, 3,5m, 4m et 5m / 

Section 
- 11x10cm - Longueur 2,5m, 3m, 3,5m 

- Autres longueurs sur commande",,,,,charpente
chevrons-pin-sylvestre,Chevrons pin sylvestre,Bois raboté - Traités CL4 - Section 68x68mm - Longueur 3m / Section 90x90mm - Longueur 3m - Autres longueurs sur commande,,,,,bois-autoclave
clain-pin-sylvestre,Clain pin sylvestre,"Profil Elégie - Traité CL4 - Section 135x22mm - Longueur 4,2m ou autre selon arrivage - Garanti 15 ans",,,,,bois-autoclave
colles,Colles,Vinylique : UR (D2) biberon 750g ou seau de 5kg - R41 (D3) biberon 750g ou seau de 5kg / Polyurétane : PU (D4) biberon 500g / Neoprène Liquide ou gel pot de 1L  / Mastic-colle Polyurétane : Soudaflex 45FC Cartouche pistolable de 300ml,,,,,colles-et-produits-de-traitement
comptoir,Comptoir,,,,,,fabrication-sur-mesure
contreplaque,Contreplaqué,"Essence : Peuplier - Epaisseurs : 5,8,10,12,15,18,22mm - Collage WBP - Usage intérieur/extérieur - Format : 2500x1220mm / Essence Okoumé - Epaisseurs :  5,8,10,12,15,18mm - Collage CTBX - Usage intérieur/extérieur - Format : 3100x1530mm / Bakélisé Anti-dérapant tout bouleau - Epaisseurs : 12,15,18,27,35,45mm - Format : 2500x1530mm - Usage extérieur, plancher de remorque,camion,scène... / Bakélisé Lisse Eucalyptus - Usage coffrage - Format : 2500x1250mm / Speciaux : Cintrable fromager - Fil long et fil travers - Epaisseur 9mm - Format : 2500x1220mm / Tout bouleau/Tout hêtre/ Okoumé construction marine",,,,,panneaux
contreplaque-replaque,Contreplaqué replaqué,"Essences : Ormeau,Eyong,Pin,Chêne,Frêne,Merisier,Hêtre - Formats : 2500x1220mm ou 2500x1530mm - Epaisseurs 5 et 10mm selon essence",,,,,panneaux
daneba,Danéba,Bois brut - Origine Afrique - Brun/jaune - Menuiserie extérieure/intérieure - Largeurs 205/230mm - Epaisseur 54mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
debit-sur-liste,Débit sur liste,Toute sections sur mesure sur commande (Epicéa / Douglas / chêne),,,,,charpente
demi-chevrons-pin-ylvestre,Demi-chevrons pin Sylvestre,Bois raboté - Traité CL4 - Section 45x68mm - Longueur 3 et 4m - Autres longueurs sur commande,,,,,bois-autoclave
demi-liteaux,1/2 Liteaux,,Section: 14*38,Longueur: 3m,,,charpente|liteaux-contre-liteaux
demi-rond,Demi-rond,"Pin Sylvestre - Traités CL4 - Diamètres 8cm - Longueurs 2,5m - Garantis 15 ans",,,,,bois-autoclave
echarpes,Echarpes à volets,"Echarpes et barres - Sapin nord blanc, section 28x95mm - Longueur 2400mm",,,,,sapin-nord-blanc|volets
egger-pfleiderer-polyrey,Gamme EGGER - PFLEIDERER - POLYREY,"Nous distribuons sur commande les panneaux mélaminés - Plan de travail - Stratifié des marques EGGER, PFLEIDERER et POLYREY - Nuancier disponible sur place",,,,,panneaux
equerres,Equerres,,,,,,quincaillerie
erable-sycomore,Erable  Sycomore,Sycomore de Bourgogne/ Franche comté - Plot - Séchage naturel - Epaisseurs 27mm ou autre selon arrivage,Epaisseur: 27-34,,Erable/Sycomore,,bois-de-menuiserie-de-pays
fongicide,Fongicide,Produit de traitement fongicide du bois contre la mérule et autres champignons - Type d'application préventif ou curatif - A diluer - Disponible en bouteille de 1L,,,,,sapin-du-nord
frake,Fraké,Bois brut (Noyer africain) - Jaune clair - Menuiserie intérieure - Toutes largeurs - Epaisseur 45mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
framire,Framiré,Bois brut - Origine Afrique - Jaune - menuiserie extérieure/intérieure - Toutes largeurs - Epaisseur 41mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
frene,Frêne,Frêne blanc de Bourgogne/ Franche comté - Avivés - Séchage naturel - Epaisseurs 27-41-54mm,Epaisseur: 27-41-54,,Frêne,,bois-de-menuiserie-de-pays
gamme-vivre-en-bois,Gamme Vivre en bois,Gamme disponible sur commande - Catalogue sur place ou a consulter sur internet : https://www.vivreenbois.com/produits/bardage-bois,,,,,lame-de-terrasse
hetre,Hêtre,Hêtre de Bourgogne/ Franche comté - Avivés - Séchage naturel - Epaisseurs 27-41-54mm,Epaisseur: 27-41-54,,Hêtre,,bois-de-menuiserie-de-pays
hevea,Hévéa,Origine Amérique du Sud ou Asie - Blanc crème - Menuiserie intérieure - Panneaux - Epaisseur 22-33-44-55mm - Format 4500x1100mm / Plan de travail - Epaisseur 36mm - Format 3000x650mm,,,,,bois-de-menuiserie-exotique
iroko,Iroko,Bois brut - Origine Afrique - Brun/Jaune - Menuiserie extérieure/intérieure - Toutes largeurs - Epaisseurs 27-45-80mm / Chevrons 105x105mm / Poteaux 205x205mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
isolants,Isolants,"Isolants en Fibre de Bois : STEICO : 1220x575mm - Epaisseurs 40,80,100,120mm / ISONAT : 1220x580mm - Epaisseurs 40,60,100,120,145,200mm",,,,,panneaux
jalons-chantier,Jalons de chantiers,Jalons de chantier 27x27mm - Disponible par paquets de 25 ou à la palette - Longueur standard 1m - Autres longueurs et sections sur commande,,,,,jalons
kering,Kering,Bois brut - Origine Asie - Brun rouge - Menuiserie intérieure - Largeurs 230mm Epaisseur 41 et 54mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
lambris-pin,Pin,"Profil mouchette - Section 10x70mm - Longueur 2m - Choix rustique, petits nœuds, sans nœud",,,,,lambris
lamelle-colle,Lamellé collé,"Panneaux Hévéa exotique - Origine Asie -  Epaisseurs 22,33,44,55mm - Format : 4500x1100mm - / Chêne  Epaisseurs 22,33,44mm - Format : 4500x1100mm / Pin -  Epaisseur 34mm - Format 2000x800mm  / Epaisseur 22mm - Format 2400x300-400-500-600mm",,,,,panneaux
lames-palapi,Lames Palapi,"Essence Palapi - origine Asie - Section 95x28mm - Longueur 2,70m",,,,,volets
lames-terrasses,Lames terrasses,Pin Sylvestre - Traitées CL4 - Section 145x22mm - Lisses ou rainurées - Choix sans nœud / Petits nœuds - Longueurs 3 ou 4m - Garanties 15ans,,,,,bois-autoclave
lames-volet-sapin,Lames à volets,"Essence : Sapin nord blanc, sans chanfreins - section 28x105mm - Longueurs disponibles 1800, 2100, 2400, 2700mm",,,,,sapin-nord-blanc|volets
latte,Latté,"Panneaux lattés Épicéa, Chêne, Mélèze, Peuplier - Sur commande",,,,,panneaux
liteaux,Liteaux,"Section: 
- 27x40mm - Longueur 4m 
- 14x38mm- Longueur 3m","Section: 
- 27x40mm - Longueur 4m 
- 14x38mm- Longueur 3m",,,,charpente|liteaux-contre-liteaux
macaranduba,Macaranduba,Bois raboté - Naturellement CL5  - Origine Afrique - Section 145x22mm (lame de terrasse) - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
madriers,Madriers,"Section 18x8cm - Longueur 3m, 3,5m, 4m, 5m / Section 22x8cm - Longueur 4m, 5m, 6m / Section 22x10cm - Longueur 4m, 5m, 6m / Section 25x10cm - Longueur 7m -Autres longueurs sur commande",,,,,charpente
madriers-pin-sylvestre,Madriers pin sylvestre,"Bois raboté - Origine France - Traité CL4 - Section 145x45mm - Longueurs 3m, 4m / Section 190x68mm - Longueurs 3m, 4m / Section 220x68mm - Longueurs 4m - Garantis 15ans",,,,,bois-autoclave
mame-terrasse-macaranduba,Macaranduba,Rouge foncé - Origine Amérique du Sud - Naturellement CL5 - Section 145x22mm - Longueurs en fonction des arrivages,,,,,lame-de-terrasse
mdf-pre-peint-blanc,MDF pré-peint blanc,"Pré peinte blanc - 10x70mm - Longueur 2,44m - 1 bord arrondi / 10x100mm Longueur 2,44m - 1 bord arrondi ou bord droit - 16x150mm - Moulure Stylobate - Longueur 2,44m / Surplinthe 22x133mm - Longueur 2,44m",,,,,plinthe
medium-fibre,MDF / Fibre,"Panneau de MDF - Menuiserie générale - Usage intérieur -  Format : 2440x1220mm - Epaisseurs : 3,6mm / Format : 2800x2070mm - Epaisseurs : 10,12,16,19mm",,,,,panneaux
merandi,Mérandi,Bois brut - Variété Dark Red - Origine Asie - Rosé - Menuiserie extérieure/intérieure - Largeur 205mm - Epaisseurs 27-34-41-54mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
merisier,Merisier,Merisier de Bourgogne - Plot - Séchage naturel - Epaisseur 34mm ou autre selon arrivage,Epaisseur: 27-34,,Merisier,,bois-de-menuiserie-de-pays
moulures-baguettes,Moulures,Quart de ronds - Chants plats - Baguettes d'angle - Encadrements - Tourillon -Crémaillères - Nez de cloison - Cimaises - Corniches,,,,,moulures-tasseaux
muiracatiara,Muiracatiara,Bois brut - Naturellement CL4 - Origine Afrique - Brun foncé à rouge,,,,,bois-de-menuiserie-exotique
niangon,Niangon,Bois brut - Origine Afrique - Rouge foncé - Menuiserie extérieure/intérieure - Toutes largeurs - Epaisseurs 34-54-80mm - Longueurs selon arrivage,,,,,bois-de-menuiserie-exotique
ormeau-usa,Ormeau (USA),"Bois brut - Américain - Brun/Jaune - Menuiserie intérieure  - Toutes largeurs - epaisseur 27mm - Longueur 4,20m",,,,,bois-de-menuiserie-exotique
osb,OSB 3,"Format dalle : 2500x675mm - Epaisseurs : 12,18,22mm / Format panneau : 2800x1196mm - Epaisseur 9mm et 2500x1250mm - Epaisseur 18mm",,,,,panneaux
palapi-exotique,Palapi,"Bois brut - Origine Asie - Brun - Menuiserie intérieure/extérieure - Lame de parquet/volet - Section 95x28mm - Longueur 2,70m",,,,,bois-de-menuiserie-exotique
palapi-volets,Lames à volets Palapi,"Essence Palapi - origine Asie - Section 95x28mm - Longueur 2,70m",,,,,volets
parquet-chataigner,Châtaigner,Massif de Dordogne - Section 23x140mm - Longueur 2m - Longueurs panachées - Choix rustique,,,,,parquet
parquet-palapi,Palapi,"Massif exotique - Section 28x95mm - Longueur 2,70m",,,,,parquet
parquet-pin,Pin,"Massif des landes - Sections 23x100mm, 23x140mm, 23x180mm - Longueur 2m - Choix rustique ou petits nœuds",,,,,parquet
petit-mobilier,Petit mobilier,,,,,,fabrication-sur-mesure
pieds-poteaux,Pied de poteaux,,,,,,quincaillerie
pin,Pin,Planches brutes en Pin des Landes sans traitement - Toutes largeurs - Longueur 2m,,,,,bardage-clin
pin-petit-noeud,"Pin Sylvestre traité CL4, petit Nœud",(Type: Petit Noeud),Section: 145*22,Longueur: 2.9m/3.9m,,,lame-de-terrasse|pin-sylvestre
pin-rustique,"Pin Sylvestre traité CL4, Rustique",(Type: Rustique),Section: 145*22,Longueur: 3m/4M,Pin,,lame-de-terrasse|pin-sylvestre
pin-sans-noeud,"Pin Sylvestre traité CL4, Sans nœud",(Type: Sans noeud),Section: 145*22,Longueur: 2.9m/3.9m,,,lame-de-terrasse|pin-sylvestre
