"id"|"name"|"description"|"image"|"slug"|"parentId"|"type"|"specifications"|"createdAt"|"updatedAt"
1|Bois de menuiserie de pays|Bois massifs Français secs - Avivés ou plots - Différentes épaisseurs disponibles||bois-de-menuiserie-de-pays|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
2|Charpente|"Bois massif traditionnel - Epicéa du Jura - Brut - Traité CL2 - Stocké à l'abri 
"||charpente|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
3|Lame de terrasse|"Pin Sylvestre traité CL4 - Exotique - Bambou 
"||lame-de-terrasse|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
4|Bardage et clin|Aménagement extérieur - Revetement de façade de maison - D'Abri de jardin - Pose verticale ou horizontale ||bardage-clin|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
5|Bois de menuiserie exotique|"Bois Massif d'origine Afrique - Asie - Amérique du Nord - Amérique du Sud - Avivés - Différentes épaisseurs disponibles 
"||bois-de-menuiserie-exotique|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
6|Parquet|"Massif ou contrecollé - Pose à clouer, visser ou coller 
"||parquet|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
7|Lambris|"Usage intérieur ou extérieur sous abri 
"||lambris|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
8|Bois autoclavé|"Traités par imprégnation à cœur pour usage extérieur - Garantis de 10 à 20ans 
"||bois-autoclave|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
9|Plinthe et Surplinthe|"En Pin, Sapin Nord blanc ou MDF prépeint blanc 
"||plinthe|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
10|Planches|"Coffrage, usages divers
"||planches|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
11|Moulures - Tasseaux|"Pin sans nœuds ou chêne - Non aboutés 
"||moulures-tasseaux|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
12|Portes / blocs portes|"Portes seules et blocs-portes - Usage intérieur - Alvéolaire/Ame pleine/Coupe-feu 30min ou 60min - De nombreuses références en stock, nous consulter
"||portes-blocs-portes|0|product||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
13|Colles et produits de traitement|"Colle à bois - bois et matériaux / Insecticides et fongicides / Saturateur
"||colles-et-produits-de-traitement|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
14|Quincaillerie|"Visserie Zinguée/ Inox/ Equerres/ Sabots de charpente/ Pieds de poteaux
"||quincaillerie|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
15|Sapin du nord|"Provenance Pays du Nord de l'Europe - Menuiserie intérieure/extérieure 
"||sapin-du-nord|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
16|Volets|"Lame à volets - Barres et écharpes - Battement 
Lame à volets - Barres et écharpes - Battement 
"||volets|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
17|Panneaux|""||panneaux|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
18|Jalons|""||jalons|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
19|Fabrication sur mesure|"Plateaux de table - Bureau - Meuble Vasque - Comptoir - Petit mobilier - Projet à deviser sur place
"||fabrication-sur-mesure|0|category||"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
20|Chêne|"Chêne de Bourgogne - Plot - Séchage naturel - Epaisseurs 20-27-34-41-54mm 
"||bois-menuiserie-chene|1|product|"{""type"": ""BME""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
21|Chataigner|"Châtaignier de Dordogne - Plots ou avivés - Séchage naturel ou séchoir - Epaisseurs 20-27-34-45-54mm
"||chataigner|1|product|"{""section"": ""Epaisseur: 20-27-34-45-54""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
22|Pin sans nœud|"Pin trié sans nœud des Landes - Avivés - Séchage naturel - Epaisseurs 27-32-41-52mm
"||pin-sans-nœud|1|product|"{""section"": ""27x215, 32x diverses, 41x215, 52x215"", ""longueur"": ""2.4m"", ""essence"": ""Pin""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
23|Frêne|"Frêne blanc de Bourgogne/ Franche comté - Avivés - Séchage naturel - Epaisseurs 27-41-54mm
"||frene|1|product|"{""section"": ""Epaisseur: 27-41-54"", ""essence"": ""Frêne""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
24|Hêtre|"Hêtre de Bourgogne/ Franche comté - Avivés - Séchage naturel - Epaisseurs 27-41-54mm
"||hetre|1|product|"{""section"": ""Epaisseur: 27-41-54"", ""essence"": ""Hêtre""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
25|Tilleul|"Tilleul de Bourgogne/ Franche comté - Plots - Séchage naturel - Epaisseurs 27-45mm
"||tilleul|1|product|"{""section"": ""Epaisseur: 27-45"", ""essence"": ""Tilleul""}"|"2025-04-02 07:42:46"|"2025-04-02 07:42:46"
